,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,PNB,EQ,15-05-2017,169.15,169.95,171.3,166.2,166.85,166.8,168.94,7476618,1263123175,41641,1352589,18.09,5,2017,166.8,0,Slight or no chnage
1,PNB,EQ,16-05-2017,166.8,167.35,178,164.8,173.2,174.15,173.13,51532461,8921903968,254027,5804867,11.26,5,2017,173.2187341,0.044064748,Slight or no chnage
2,PNB,EQ,17-05-2017,174.15,173,173.1,164.3,164.8,165.05,167.27,26536944,4438941589,116512,7037498,26.52,5,2017,170.6847386,-0.052253804,Slight or no chnage
3,PNB,EQ,18-05-2017,165.05,163.4,164.4,157.9,158.25,158.5,161.06,13905573,2239612548,76746,3245443,23.34,5,2017,168.9810377,-0.039684944,Slight or no chnage
4,PNB,EQ,19-05-2017,158.5,159.5,162.25,154.1,155.2,155.2,157.59,16311602,2570540468,82394,2816963,17.27,5,2017,167.0392219,-0.020820189,Slight or no chnage
5,PNB,EQ,22-05-2017,155.2,157.5,158,150.25,151.05,150.95,153.77,11857847,1823358971,61559,1874308,15.81,5,2017,165.5442998,-0.027384021,Slight or no chnage
6,PNB,EQ,23-05-2017,150.95,151.95,154.35,145.55,149.1,149.75,150.19,18177361,2730134675,84779,2318975,12.76,5,2017,163.5751514,-0.007949652,Slight or no chnage
7,PNB,EQ,24-05-2017,149.75,149.7,152.35,146.5,147.3,147.45,149.16,12578488,1876156469,63143,1093155,8.69,5,2017,162.294472,-0.015358932,Slight or no chnage
8,PNB,EQ,25-05-2017,147.45,148.5,151.9,144.35,151.2,150.7,148.28,18805386,2788529746,70546,5106397,27.15,5,2017,161.0638833,0.02204137,Slight or no chnage
9,PNB,EQ,26-05-2017,150.7,151,153.3,149.6,150.3,150.65,151.23,9285518,1404293980,45352,1805638,19.45,5,2017,160.5453042,-0.000331785,Slight or no chnage
10,PNB,EQ,29-05-2017,150.65,150.45,151.85,143.05,143.65,145.1,147.58,8154328,1203406698,37624,1838845,22.55,5,2017,159.8981728,-0.036840358,Slight or no chnage
11,PNB,EQ,30-05-2017,145.1,143.9,148,142.4,146.45,146.35,146.11,10767305,1573237195,46802,2178803,20.24,5,2017,159.1879254,0.008614748,Slight or no chnage
12,PNB,EQ,31-05-2017,146.35,146.85,151.6,145,150.85,150.5,148.56,16851657,2503432202,62225,5241274,31.1,5,2017,158.5291546,0.028356679,Slight or no chnage
13,PNB,EQ,01-06-2017,150.5,151,152.3,149.25,151.6,151.9,150.95,9103808,1374191400,39672,969143,10.65,6,2017,158.2682863,0.009302326,Slight or no chnage
14,PNB,EQ,02-06-2017,151.9,153.4,154.05,150.9,153,153.05,152.87,7997880,1222653756,37217,1520732,19.01,6,2017,158.093912,0.00757077,Slight or no chnage
15,PNB,EQ,05-06-2017,153.05,153.45,154.75,152.8,153.85,153.8,153.8,5133407,789529480.9,27356,928075,18.08,6,2017,158.0037503,0.004900359,Slight or no chnage
16,PNB,EQ,06-06-2017,153.8,154.1,154.5,149.05,149.55,149.5,151.32,6081488,920237705.2,32123,1091219,17.94,6,2017,157.7973489,-0.027958388,Slight or no chnage
17,PNB,EQ,07-06-2017,149.5,149.5,153,149.25,152.65,152.35,151.17,7023536,1061741432,37817,1243197,17.7,6,2017,157.6488146,0.019063545,Slight or no chnage
18,PNB,EQ,08-06-2017,152.35,152.8,153.15,150.75,151.3,151.3,151.73,5183430,786460561.9,29855,892803,17.22,6,2017,157.5235746,-0.006892025,Slight or no chnage
19,PNB,EQ,09-06-2017,151.3,151,152.75,149.65,151.8,152.15,151.45,4215439,638407453.8,23742,531658,12.61,6,2017,157.4387294,0.005617978,Slight or no chnage
20,PNB,EQ,12-06-2017,152.15,151,151,147.5,148.6,148.4,148.89,6329251,942376196.2,33295,911020,14.39,6,2017,157.229412,-0.02464673,Slight or no chnage
21,PNB,EQ,13-06-2017,148.4,148.8,150.5,147.5,149.15,148.75,149.12,4610203,687463916.1,36325,825200,17.9,6,2017,157.0887533,0.002358491,Slight or no chnage
22,PNB,EQ,14-06-2017,148.75,149.6,152.7,148.3,152.2,152,150.56,8829217,1329301636,43060,1584689,17.95,6,2017,156.9320666,0.021848739,Slight or no chnage
23,PNB,EQ,15-06-2017,152,148.6,150.7,146.7,147.2,147.45,148.04,12486764,1848505520,55170,2697077,21.6,6,2017,156.5363906,-0.029934211,Slight or no chnage
24,PNB,EQ,16-06-2017,147.45,148.5,148.9,146.7,147.5,147.65,147.72,6445657,952149860.1,29679,2200753,34.14,6,2017,156.3490103,0.001356392,Slight or no chnage
25,PNB,EQ,19-06-2017,147.65,148.5,149,146.8,146.95,147.25,148.06,3972793,588220933,29398,690014,17.37,6,2017,156.232272,-0.002709109,Slight or no chnage
